country,iso_alpha3,year,fdi_net_inflow,fdi_net/gdp,elec_access,gov_effect,gcf,trade,gdp_deflat,gdp/cap,school_enroll,labour
Indonesia,IDN,2008,9318453649.82664,1.82632902403998,92.7,-0.262719124555588,1435340596220700.0,58.5613996312961,18.1497512494676,2124.55483920618,20.5209503173828,114200383.0
Indonesia,IDN,2009,4877369178.4365,0.90391941965406,93.6,-0.330059111118317,2402607613507700.0,45.5121213687054,8.27475243172853,2218.48541852977,22.6933307647705,115441860.0
Indonesia,IDN,2010,15292009410.5099,2.02517914569356,94.2,-0.266941010951996,2256935280000000.0,46.7012738758737,15.2642936576449,3065.68348377765,23.4159086398462,118205102.0
Indonesia,IDN,2011,20564938226.7185,2.30298429381592,94.8,-0.321591943502426,2434566437685500.0,50.1800131841104,7.46594303367513,3579.46442466152,25.027444191823,120648289.0
Indonesia,IDN,2012,21200778607.8726,2.30978031853073,96.0,-0.330479681491852,2701911895932200.0,49.5828982992627,3.75387875323653,3632.27254030331,29.0425391195214,123448397.0
Indonesia,IDN,2013,23281742361.5305,2.55135633401058,96.5,-0.244262352585793,2778828599583100.0,48.6373726752893,4.96599029131677,3566.60284506078,29.894529174265,124097473.0
Indonesia,IDN,2014,25120732059.5134,2.81997260412102,97.0,-0.0666907653212547,2936053396913400.0,48.0801755855227,5.44317454935612,3441.06808464008,29.9904910473273,125645513.0
Indonesia,IDN,2015,19779127976.9576,2.29761639380441,97.5,-0.325818121433258,3024203892452400.0,41.9376402415294,3.98024266013961,3288.22269725538,32.4590200433758,127299364.0
Indonesia,IDN,2016,4541713739.23769,0.487372471368879,97.6,-0.0507822521030903,3174984826433200.0,37.4213418023318,2.43892408688207,3521.46943457574,34.8307173410877,128501300.0
Indonesia,IDN,2017,20510310832.4469,2.01948919812582,98.1,-0.0197342690080404,3355646564541800.0,39.3554970704606,4.29267812199525,3798.88326174526,35.967012362631,130940742.0
Indonesia,IDN,2018,18909826043.5105,1.81428979349441,98.5,0.141379877924919,3641679886563800.0,43.0743089552002,3.81832356943335,3860.95353090726,36.1494878042588,134532894.0
Indonesia,IDN,2019,24993551748.0098,2.23336204282241,98.9,0.138700008392334,3727617965182300.0,37.6277775357108,1.59848849984144,4106.94856160358,37.3230862728703,137425585.0
Indonesia,IDN,2020,19175077747.8077,1.81058402027127,97.0,0.31706503033638,3470515737856500.0,32.9721754002427,-0.401651435218994,3853.70288774146,38.1650601406923,137375390.0
Indonesia,IDN,2021,21213080329.8582,1.7878556314554,99.2,0.346443444490433,3611927887326000.0,40.2047582749671,6.00397322136207,4287.17313995098,40.6293239880732,135672770.0
Indonesia,IDN,2022,24702029705.0926,1.87264100861425,100.0,0.436147511005402,3757322970000000.0,45.4646701959453,9.56898756346934,4730.83484836107,42.3260385456152,139637843.0
Indonesia,IDN,2023,21543358781.3828,1.57116694173474,99.4,0.58032637834549,3952894420000000.0,41.3362868707652,1.53013198443368,4876.30774512252,44.8813034886441,143318723.0
"Iran, Islamic Republic of",IRN,2000,39000000.0,0.0355866340456932,97.9,-0.492341905832291,1.73771496268366e+16,41.2572474638031,24.9292605186771,1650.01385833785,18.780179977417,19476868.0
"Iran, Islamic Republic of",IRN,2001,408118760.0,0.321660450664957,98.1,-0.55452136695385,1.99436255267504e+16,40.535566479523,14.8054189518948,1881.02266635283,19.4918804168701,20409991.0
"Iran, Islamic Republic of",IRN,2002,3519380360.0,2.73611498145264,98.1,-0.616700828075409,2.36005106949392e+16,48.1726865520657,28.2796940877293,1891.25756091033,18.2758693695068,21179010.0
"Iran, Islamic Republic of",IRN,2003,2877481500.0,1.89418626211609,98.2,-0.565392553806305,2.78530219679066e+16,50.6791057753261,13.1363946141701,2208.99636552406,19.4057903289795,22044846.0
"Iran, Islamic Republic of",IRN,2004,3037299840.0,1.61769687939769,98.3,-0.501296877861023,2.93772933542487e+16,51.3138573265888,24.7082423969632,2672.4226651404,21.3706798553467,23217005.0
"Iran, Islamic Republic of",IRN,2005,2889191670.0,1.28425430112768,98.4,-0.662730693817139,2.83729347467446e+16,54.4404952635536,20.1661915986707,3132.0508192007,22.6841907501221,24431517.0
"Iran, Islamic Republic of",IRN,2006,2317538500.0,0.872560020177082,98.4,-0.555354535579681,2.97908193644052e+16,53.1673587143845,14.5825930336829,3618.91601364428,25.3070392608643,24828699.0
"Iran, Islamic Republic of",IRN,2007,2017791750.0,0.5769461352122,98.7,-0.648909568786621,3.36625400451971e+16,49.8873069225934,22.9390613526636,4687.99166260718,29.8213806152344,25004744.0
"Iran, Islamic Republic of",IRN,2008,1979988010.0,0.487596567096289,98.8,-0.682821750640869,3.69188464322485e+16,48.2294027741438,19.4219808659436,5377.4115072957,36.1939392089844,24252328.0
"Iran, Islamic Republic of",IRN,2009,2983421910.0,0.720530462050838,99.7,-0.577192842960358,3.80829739210984e+16,43.6995802243585,4.59851691743872,5415.52280553446,36.4833183288574,25116620.0
"Iran, Islamic Republic of",IRN,2010,3648972410.0,0.74916862626536,99.4,-0.49773833155632,4.17790521239306e+16,43.7706437371399,15.8826259725109,6291.19443655454,42.5482215881348,25068937.0
"Iran, Islamic Republic of",IRN,2011,4276718690.0,0.679834574763516,99.5,-0.452714681625366,3.99714066142788e+16,41.2194147918578,33.4095331560984,8025.68743364356,48.0596084594727,24409383.0
"Iran, Islamic Republic of",IRN,2012,4661734400.0,0.723850091355471,99.5,-0.542041420936584,3.71324525451962e+16,44.0893466807452,18.9538841448278,8114.08099831877,53.9002494812012,25434392.0
"Iran, Islamic Republic of",IRN,2013,3049945000.0,0.609501593960532,99.8,-0.690026342868805,3.37754745348185e+16,47.0867179194755,36.7756318862083,6222.74194840326,56.4632682800293,25379809.0
"Iran, Islamic Republic of",IRN,2014,2105494000.0,0.45545387401938,100.0,-0.438457310199738,3.51350287340783e+16,45.3514201413161,9.75876873256342,5672.06372896319,64.4999084472656,25523109.0
"Iran, Islamic Republic of",IRN,2015,2050000000.0,0.500987695412685,100.0,-0.253069669008255,2.14440707182208e+16,39.42258866118,0.197001678736953,4952.73355532178,70.6858520507812,26476760.0
"Iran, Islamic Republic of",IRN,2016,3372000000.0,0.70452835935243,100.0,-0.237505525350571,2.84811753618417e+16,39.8772417738866,14.0650205569588,5710.59947089104,67.9112319946289,27579337.0
"Iran, Islamic Republic of",IRN,2017,5019000000.0,0.983654956177998,99.9,-0.241994991898537,3.13578446257109e+16,43.1556931383906,12.7875737214138,6000.93346404409,66.351448059082,28624101.0
"Iran, Islamic Republic of",IRN,2018,2373000000.0,0.576106085876311,100.0,-0.47861048579216,2.77198764324866e+16,56.6153496142829,32.9114031837064,4783.01067340237,60.8611488342285,29067669.0
"Iran, Islamic Republic of",IRN,2019,1508000000.0,0.433347777066285,100.0,-0.599589228630066,2.57082068871997e+16,48.5917712137038,30.9338554764076,3997.4935449585,58.1169509887695,29161250.0
"Iran, Islamic Republic of",IRN,2020,1342000000.0,0.47769170946132,100.0,-1.01759469509125,2.82979060394284e+16,43.8844674905013,46.5767903520112,3202.50003502169,55.6366691589355,27655908.0
"Iran, Islamic Republic of",IRN,2021,1425000000.0,0.34982143161472,100.0,-0.887051045894623,2.94348059294638e+16,42.672379536261,55.8629923089886,4605.14881318992,54.2834014892578,27754866.0
"Iran, Islamic Republic of",IRN,2022,1500000000.0,0.354893288694741,100.0,-0.882911622524261,3.17010659174252e+16,48.9183508223052,51.0776555189838,4721.20437099984,58.6677703857422,27880537.0
"Iran, Islamic Republic of",IRN,2023,1422333330.0,0.310885408088419,100.0,-1.02239692211151,3.28795270004286e+16,49.3935500960203,37.2937420604748,5049.29931642754,58.6677703857422,29026520.0
Malaysia,MYS,2000,3787631578.94736,4.03842862393763,98.6,0.99294239282608,192711826500.0,220.406788982074,8.85521685144839,4083.52874483605,27.5522994995117,9003136.0
Malaysia,MYS,2001,553947368.421052,0.597029318252079,98.6,0.95722422003746,145210700400.0,203.364636010653,-1.58187391181744,3943.79943910239,26.960880279541,9319049.0
Malaysia,MYS,2002,3192894736.8421,3.16612432250471,98.6,0.92150604724884,185919536400.0,199.356232695655,3.12888319863409,4184.03163773539,28.92991065979,9642825.0
Malaysia,MYS,2003,3218947368.42105,2.92094209456765,98.7,1.04106783866882,165647831100.0,194.195129056831,3.29893287687825,4465.32194567208,31.2641696929932,9976922.0
Malaysia,MYS,2004,4376052631.57894,3.50787262049412,98.7,1.04575204849243,190648573600.0,210.374265897124,6.00928261482106,4939.24851854427,29.779899597168,10324666.0
Malaysia,MYS,2005,3924786634.73868,2.73438734940078,98.7,1.04338908195496,154199375600.0,203.854644595624,8.8625864706771,5555.58179951206,27.1163005828857,10688442.0
Malaysia,MYS,2006,7690731245.66746,4.72716484834358,98.8,1.23769116401672,177795408100.0,202.577146840398,3.98093167351242,6158.40785533236,27.6703605651856,11067941.0
Malaysia,MYS,2007,9071369834.83859,4.68684578287436,98.9,1.22411561012268,195329322200.0,192.465506357652,4.88132335727943,7168.93031942508,29.375789642334,11462139.0
Malaysia,MYS,2008,7572512432.33634,3.28081949125174,99.0,1.05022716522217,195694029500.0,176.668324785148,10.3889003992836,8371.82156086005,32.9037017822266,11872645.0
Malaysia,MYS,2009,114664434.56228,0.056692316075743,99.3,0.895370304584503,137781719100.0,162.558970452699,-5.99220155562196,7191.43287234626,35.0602111816406,12298453.0
Malaysia,MYS,2010,10885801851.6194,4.26864663854031,99.5,1.04647839069366,238429555400.0,157.944764886771,7.26684593389439,8899.34505544675,36.6774305573553,12720268.0
Malaysia,MYS,2011,15119439203.9543,5.07446032143377,99.5,0.98675674200058,238487826600.0,154.937684607226,5.41240809007968,10217.1068585031,35.5661790570975,13112179.0
Malaysia,MYS,2012,8895774250.70401,2.82905738174529,99.8,0.906338155269623,277695953900.0,147.841754766013,0.999932303470885,10600.5744240026,36.825516807355,13636640.0
Malaysia,MYS,2013,11296279513.9209,3.49431175959971,99.6,0.993431925773621,266907091600.0,142.720991464873,0.17447448132144,10713.6407638899,38.0700970900265,14173536.0
Malaysia,MYS,2014,10619431582.9781,3.14122940365348,99.7,1.14593541622162,255749380100.0,138.312231176843,2.46746678366378,11013.3107334403,38.3919142029325,14721580.0
Malaysia,MYS,2015,9857162111.82329,3.27094402931735,99.9,0.91708517074585,299228626000.0,131.37007244526,1.21805573355338,9648.6797937523,44.289909239243,15103051.0
Malaysia,MYS,2016,13470089920.807,4.47130958598651,99.9,0.817718744277954,312487338000.0,126.8990100257,1.65825996642414,9476.53409809923,45.4034659569972,15415068.0
Malaysia,MYS,2017,9368469822.66145,2.9358203805856,100.0,0.77773243188858,332124464000.0,133.155173371956,3.77896094306453,9862.54806612235,42.293211695146,15779343.0
Malaysia,MYS,2018,8304480741.65266,2.31458721219734,100.0,1.05388987064362,326914759000.0,130.402625502126,0.624674674586643,10901.8019954421,43.3100279300797,16212579.0
Malaysia,MYS,2019,9154921685.03934,2.50697705748044,100.0,0.967774987220764,314653136000.0,123.028562027943,0.0718269093121364,10920.191763972,40.8082966813944,16636582.0
Malaysia,MYS,2020,4058769678.64231,1.20275464255821,100.0,1.02225887775421,276710985000.0,116.788182437638,-0.818007729183023,9957.52626697613,39.7445667367633,16871915.0
Malaysia,MYS,2021,20245157326.8023,5.41626377085161,100.0,0.952433526515961,299991564000.0,134.035994690727,5.67593848764116,10903.1037480772,38.1899993008367,17233270.0
Malaysia,MYS,2022,15027992710.6144,3.68486215546291,100.0,0.992667615413666,322846135000.0,146.424604753908,6.29629950333799,11754.5678336248,36.9853099297291,17730042.0
Malaysia,MYS,2023,7918601050.23635,1.97990062716743,100.0,0.875369668006897,345860779000.0,132.593461641599,-1.84898373559957,11386.0395636528,37.2745812491757,18064842.0
Nepal,NPL,2000,-484826.712274881,-0.00882425294523833,29.9,-0.396729677915573,177089341100.0,55.7105890041319,4.47243371871953,223.830289183078,4.12185001373291,5995668.0
Nepal,NPL,2001,20850000.0,0.347091875363344,24.6,-0.49746279418468453,177089341100.0,55.7999210803706,11.0171482958921,240.795114544664,4.40957021713257,6115063.0
Nepal,NPL,2002,-5952541.12704631,-0.0983748686510898,36.4,-0.598195910453796,152242727700.0,46.2307185004451,3.93485789816799,238.89140296106,4.98775005340576,6237676.0
Nepal,NPL,2003,14778085.6065136,0.233443620739643,39.6,-0.800985097885132,162098078300.0,44.2478836156195,3.07030496732148,246.429706587633,4.91134977340698,6361849.0
Nepal,NPL,2004,-417346.383904295,-0.00573755737053384,37.2,-0.955853760242462,190371625100.0,46.1472867206087,4.16642715074835,279.587750044428,5.69477987289429,6483894.0
Nepal,NPL,2005,2451784.70709983,0.030156295078659,46.1,-0.861349403858185,208387708700.0,44.0629474798613,6.11939040793636,309.024168339372,7.15422010421753,6600031.0
Nepal,NPL,2006,-6647983.90370767,-0.073509433259411,51.2,-0.924164414405823,217630914600.0,44.7619877569242,7.36003927902544,340.431796437968,7.62671995162964,6709291.0
Nepal,NPL,2007,5741706.05320872,0.0556064154566332,52.6,-0.724708914756775,228570533300.0,44.5792750200254,7.60328894061151,385.449767660642,9.50374031066895,6814461.0
Nepal,NPL,2008,995123.930669508,0.00793215735192788,56.0,-0.815914392471313,296261892300.0,46.0362063511913,5.61985452382142,464.817391891529,10.4749002456665,6923924.0
Nepal,NPL,2009,38271269.9748301,0.297715388957693,59.3,-0.965407252311707,321699108700.0,47.0794477633688,15.9083302102455,473.078751198621,10.4467401504517,7038992.0
Nepal,NPL,2010,87741711.6305985,0.548294665887946,68.6,-0.896736919879913,432486533700.0,45.9849057742707,15.1469324490072,585.278491984574,13.3236488235053,7158341.0
Nepal,NPL,2011,94022157.1167851,0.435814930594323,67.3,-0.920482873916626,433623556126.078,36.296758890097,26.3973066649675,785.518656222132,13.2867385971183,7256378.0
Nepal,NPL,2012,91954196.0964528,0.42369151125933,75.2,-0.989905714988708,453543947778.968,37.921906058758,7.7411500296797,788.202937148377,14.37934746619035,7316791.0
Nepal,NPL,2013,74179632.6147952,0.334712330597339,77.4,-0.933889985084534,493898743868.205,41.8653757376722,7.08265099891379,803.269595420477,15.4719563352624,7357452.0
Nepal,NPL,2014,30402676.784735,0.133746236524448,84.9,-0.863811731338501,567566809062.169,45.9826416115927,8.03536619587905,821.455224911731,13.2380540463977,7408274.0
Nepal,NPL,2015,51895699.9282915,0.213029527712984,82.0,-1.1360867023468,607188370052.861,46.6657303895158,4.40904543328786,875.543635474862,12.282886814704,7493338.0
Nepal,NPL,2016,105996375.590658,0.432212944008614,90.7,-0.893620848655701,560903843021.581,42.115486124737,7.15033478751282,877.256454696737,11.0932748536215,7565879.0
Nepal,NPL,2017,196265098.563574,0.677439884182991,86.6,-0.941260457038879,870362581142.034,44.6424106224996,8.26141254915089,1034.28374906846,11.4357824790838,7596203.0
Nepal,NPL,2018,68261793.9439986,0.206157201926214,93.9,-0.954740226268768,976405956553.838,48.4473869461067,4.3558584680418,1179.19843190389,12.613695863565,7630668.0
Nepal,NPL,2019,185563265.634425,0.542801979747667,89.9,-1.09231221675873,1085030486427.05,49.2495265874454,4.69115593292496,1203.14294706401,13.8072821953912,7802999.0
Nepal,NPL,2020,126626337.460302,0.378739091402959,89.9,-0.985120117664337,795614267566.516,40.9188741243442,3.21740233241114,1154.21517578318,14.2002391888535,7977675.0
Nepal,NPL,2021,196326024.034829,0.531690906776232,89.9,-0.929678738117218,1041194132076.64,43.0538047919129,6.76271216331268,1252.75076731986,15.243139284484,8226953.0
Nepal,NPL,2022,66059660.947571,0.160405404733603,91.3,-0.918098270893097,1163038706819.41,48.9734014799428,8.24119195502549,1385.91066274851,14.8435874359729,8325856.0
Nepal,NPL,2023,74821496.0370769,0.182279066044198,94.0,-0.807803750038147,955821991695.853,41.5701502933145,5.74902859335131,1382.33055769304,19.0357612047581,8335831.0
Pakistan,PAK,2000,308000000.0,0.309595026317044,72.8,-0.492341905832291,2750111689200.0,21.4599638884654,68.0104449967103,642.338346499898,2.37435007095337,44283074.0
Pakistan,PAK,2001,378000000.0,0.38910658649849,73.9,-0.5209116190671925,2881020002800.0,23.5772074298467,6.01279243381738,609.939506905073,2.37435007095337,45850789.0
Pakistan,PAK,2002,826000000.0,0.843517300073237,74.9,-0.549481332302094,2820304770200.0,23.1290159545291,3.92137857065688,599.937345723927,2.37435007095337,47266464.0
Pakistan,PAK,2003,534000000.0,0.475207711805665,76.0,-0.586459815502167,3071074777300.0,24.6501585248398,3.55265807996106,672.44178669894,2.37435007095337,48816449.0
Pakistan,PAK,2004,1118000000.0,0.845585701616171,77.0,-0.543261051177979,3361721632100.0,24.8083348519064,7.25134298416322,771.902247348954,2.97886991500854,50561804.0
Pakistan,PAK,2005,2201000000.0,1.51575083116461,78.1,-0.457726120948792,3671931317700.0,29.8784940550747,5.55608176808067,827.619861189926,4.32808017730713,51855384.0
Pakistan,PAK,2006,4273000000.0,2.63975006245443,79.1,-0.383815377950668,4327123747200.0,33.0497193672284,5.99763817670407,900.873564984808,4.39564990997315,53143744.0
Pakistan,PAK,2007,5590000000.0,3.03571933817685,80.2,-0.489426851272583,4477887257100.0,30.7878814312746,10.3313245916728,998.090114197524,4.95792007446289,55026645.0
Pakistan,PAK,2008,5438000000.0,2.68936656124595,81.4,-0.73821085691452,4637363271400.0,34.3489608135242,10.9204672720775,1067.04324565284,4.87824010848999,56978123.0
Pakistan,PAK,2009,2338000000.0,1.24801305527951,82.5,-0.812300384044647,4477333285200.0,33.3268872863988,12.3746262931271,963.788066395225,5.97273015975952,59305908.0
Pakistan,PAK,2010,2022000000.0,1.02791108080423,87.1,-0.775662660598755,4172534805800.0,31.9890020462315,10.5886442624245,987.304571124485,7.03303843576596,61633684.0
Pakistan,PAK,2011,1326000000.0,0.575055145839944,87.8,-0.833723247051239,3862429236200.0,32.3626382751438,16.4109562675144,1131.73513834324,7.31739557390399,62965404.0
Pakistan,PAK,2012,859000000.0,0.343453048660945,88.6,-0.783729493618011,4001746428300.0,31.3189732760076,9.91831543776397,1204.36475491585,8.33303617018241,64736311.0
Pakistan,PAK,2013,1333000000.0,0.515353849332245,89.3,-0.798744976520538,4108512441600.0,30.8902743401844,7.38310696738498,1225.4340119198,8.71835995772812,66307781.0
